Cycle,Metabolism,Consumption,Speed,Population,Births,Deaths,Energy,Efficiency,DeathRate
100,0.845,1.13,0.923,998,1645,588,25.8,1.3372781065088757,0.3574468085106383
200,0.836,1.136,0.922,994,2116,830,35.9,1.3588516746411483,0.5138004246284501
300,0.83,1.137,0.925,998,2859,1190,36.1,1.3698795180722891,0.4845222072678331
400,0.819,1.137,0.921,997,3541,1493,36.4,1.3882783882783885,0.4442815249266862
500,0.802,1.16,0.932,998,4116,1723,42.1,1.4463840399002492,0.4
600,0.786,1.177,0.934,994,4791,1943,40.9,1.4974554707379135,0.32592592592592595
700,0.77,1.208,0.949,999,5415,2101,43.5,1.5688311688311687,0.2532051282051282
800,0.754,1.226,0.954,1000,6073,2243,44.4,1.6259946949602122,0.21580547112462006
900,0.742,1.242,0.964,1000,6721,2329,44.3,1.673854447439353,0.13271604938271606
1000,0.735,1.258,0.97,1000,7351,2380,45.8,1.71156462585034,0.08095238095238096
1100,0.725,1.273,0.977,1000,8016,2431,46.5,1.755862068965517,0.07669172932330827
1200,0.72,1.278,0.977,999,8643,2452,48.5,1.7750000000000001,0.03349282296650718
1300,0.715,1.29,0.978,999,9307,2479,49.8,1.8041958041958044,0.04066265060240964
1400,0.714,1.297,0.976,1000,9991,2492,49.9,1.8165266106442577,0.019005847953216373
1500,0.707,1.301,0.98,1000,10714,2514,47.6,1.84016973125884,0.030428769017980636
1600,0.706,1.306,0.979,999,11417,2525,47.3,1.84985835694051,0.015647226173541962
1700,0.703,1.319,0.98,1000,12122,2554,48.5,1.87624466571835,0.04113475177304964
1800,0.701,1.324,0.98,1000,12855,2565,48.0,1.8887303851640516,0.015006821282401092
1900,0.699,1.325,0.981,1000,13586,2571,47.7,1.8955650929899857,0.008207934336525308
2000,0.698,1.326,0.98,1000,14292,2574,48.4,1.8997134670487108,0.00424929178470255
2100,0.698,1.326,0.979,1000,15025,2577,48.0,1.8997134670487108,0.004092769440654843
2200,0.697,1.328,0.98,1000,15762,2583,47.0,1.9053084648493546,0.008141112618724558
2300,0.694,1.33,0.98,1000,16488,2591,47.1,1.9164265129683,0.011019283746556474
2400,0.694,1.331,0.98,1000,17209,2592,48.1,1.9178674351585014,0.0013869625520110957
2500,0.694,1.333,0.98,1000,17937,2594,48.1,1.920749279538905,0.0027472527472527475
2600,0.694,1.333,0.98,1000,18622,2594,50.6,1.920749279538905,0.0
2700,0.694,1.334,0.98,1000,19338,2595,52.0,1.9221902017291068,0.0013966480446927375
2800,0.693,1.334,0.979,1000,20097,2596,49.4,1.9249639249639252,0.0013175230566534915
2900,0.693,1.334,0.98,1000,20827,2597,49.6,1.9249639249639252,0.0013698630136986301
3000,0.692,1.336,0.981,1000,21551,2600,50.8,1.9306358381502893,0.004143646408839779
3100,0.692,1.336,0.981,1000,22302,2600,49.4,1.9306358381502893,0.0
3200,0.692,1.337,0.98,1000,23066,2603,47.6,1.9320809248554913,0.003926701570680628
3300,0.691,1.338,0.981,1000,23790,2606,49.2,1.9363241678726486,0.004143646408839779
3400,0.691,1.339,0.981,1000,24536,2608,48.5,1.9377713458755428,0.002680965147453083
3500,0.691,1.339,0.981,1000,25243,2608,51.0,1.9377713458755428,0.0
3600,0.691,1.339,0.981,1000,26014,2608,48.4,1.9377713458755428,0.0
3700,0.691,1.339,0.981,1000,26737,2608,49.4,1.9377713458755428,0.0
3800,0.691,1.339,0.981,1000,27475,2608,49.8,1.9377713458755428,0.0
3900,0.691,1.339,0.981,1000,28228,2608,48.2,1.9377713458755428,0.0
4000,0.691,1.339,0.981,1000,28948,2608,49.9,1.9377713458755428,0.0
4100,0.691,1.339,0.981,1000,29693,2608,49.9,1.9377713458755428,0.0
4200,0.691,1.339,0.981,1000,30442,2608,49.1,1.9377713458755428,0.0
4300,0.691,1.34,0.982,1000,31170,2609,49.2,1.9392185238784374,0.0013736263736263737
4400,0.691,1.34,0.982,1000,31874,2609,52.1,1.9392185238784374,0.0
4500,0.691,1.34,0.982,1000,32651,2609,49.3,1.9392185238784374,0.0
4600,0.691,1.34,0.982,1000,33388,2609,50.0,1.9392185238784374,0.0
4700,0.69,1.34,0.982,1000,34115,2610,50.6,1.9420289855072466,0.001375515818431912
4800,0.69,1.34,0.982,1000,34857,2611,50.4,1.9420289855072466,0.0013477088948787063
4900,0.688,1.339,0.982,1000,35596,2613,51.4,1.9462209302325582,0.0027063599458728013
5000,0.688,1.339,0.982,1000,36374,2613,48.0,1.9462209302325582,0.0
